Group	Bird ID	Grid Section	Number of Pecks
Landmark	381	12	0
Landmark	381	13	5
Landmark	381	14	4
Landmark	381	15	1
Landmark	381	16	3
Landmark	381	17	1
Landmark	381	18	0
Landmark	381	19	0
Landmark	381	20	0
Landmark	381	21	1
Landmark	381	22	0
Landmark	381	23	5
Landmark	381	24	6
Landmark	381	25	0
Landmark	381	26	0
Landmark	381	27	0
Landmark	381	28	1
Landmark	381	29	0
Landmark	381	30	0
Landmark	381	31	1
Landmark	381	32	2
Landmark	381	33	3
Landmark	381	34	0
Landmark	381	35	0
Landmark	381	36	0
Landmark	381	37	0
Landmark	381	38	0
Landmark	381	39	0
Landmark	381	40	0
Landmark	381	41	0
Landmark	381	42	1
Landmark	381	43	1
Landmark	381	44	2
Landmark	381	45	5
Landmark	381	46	0
Landmark	381	47	0
Landmark	381	48	4
Landmark	381	49	2
Landmark	381	50	0
Landmark	381	51	0
Landmark	381	52	0
Landmark	381	53	0
Landmark	381	54	0
Landmark	381	55	0
Landmark	381	56	0
Landmark	381	57	1
Landmark	381	58	6
Landmark	381	59	2
Landmark	381	60	0
Landmark	381	61	0
Landmark	381	62	0
Landmark	381	63	0
Landmark	381	64	1
Landmark	381	65	2
Landmark	381	66	2
Landmark	381	67	4
Landmark	381	68	3
Landmark	381	69	3
Landmark	381	70	1
Landmark	381	71	0
Landmark	381	72	0
Landmark	381	73	0
Landmark	381	74	0
Landmark	381	75	0
Landmark	381	76	0
Landmark	381	77	0
Landmark	381	78	3
Landmark	381	79	4
Landmark	381	80	0
Landmark	381	81	0
Landmark	381	82	0
Landmark	381	83	0
Landmark	381	84	0
Landmark	381	85	0
Landmark	381	86	0
Landmark	381	87	0
Landmark	381	88	0
Landmark	381	89	0
Landmark	381	90	0
Landmark	381	91	0
Landmark	381	92	0
Landmark	381	93	0
Landmark	381	94	0
Landmark	381	95	0
Landmark	381	96	0
Landmark	381	97	1
Landmark	381	98	4
Landmark	381	99	0
Landmark	381	100	0
