WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
dubious	9.4	583	160	468	7	2	7	2.44	0
duet	7.7	449	402	449	4	2	5	2.28	6
duke	6.7	401	402	428	4	1	4	2.53	4
dumb	5.5	306	274	541	4	1	3	2.16	2
dung	6.9	407	534	412	4	1	3	2.67	7
dust	5.8	330	497	510	4	1	4	3.21	11
duster	5.9	333	576	486	6	2	6	3.08	3
dustpan	5.8	327	585	501	7	2	7	1.56	1
dusty	6.0	339	498	495	5	2	5	2.41	7
duty	7.7	446	274	501	4	2	5	2.40	1
duvet	5.6	314	617	611	5	2	4	1.83	0
dwarf	5.1	276	608	437	5	1	4	2.01	0
eager	7.6	456	245	517	5	2	4	2.83	3
eagle	5.7	313	625	462	5	2	3	2.45	0
earn	7.0	401	311	547	4	1	2	3.01	7
ease	7.3	387	302	524	4	1	2	3.15	6
edit	8.2	492	234	540	4	2	4	1.54	2
eighth	6.2	359	226	466	6	1	3	2.63	2
eighty	5.4	299	423	520	6	2	3	2.66	3
eldest	5.6	330	367	562	6	2	6	2.42	1
elite	10.3	632	283	469	5	2	4	2.69	0
elude	10.5	645	129	423	5	2	4	2.22	1
employ	8.8	546	240	526	6	2	5	1.94	0
empty	4.9	261	414	555	5	2	5	2.23	0
enact	9.1	558	291	415	5	2	5	2.23	1
endless	6.6	380	282	517	7	2	6	2.44	0
endure	9.0	553	178	476	6	2	6	2.73	1
enjoy	4.6	252	364	626	5	2	4	2.14	1
enrage	9.0	553	377	439	6	2	5	2.38	1
ensure	8.6	524	185	505	6	2	5	2.93	3
entail	9.7	581	100	466	6	2	5	2.49	0
entry	6.0	330	293	565	5	2	5	2.59	0
envy	7.8	412	366	500	4	2	4	1.58	0
equine	11.5	697	353	411	6	2	5	2.31	0
erode	8.9	553	386	427	5	2	4	2.39	0
escape	6.0	331	379	520	6	2	5	2.08	0
escort	8.3	520	334	453	6	2	5	2.56	0
estate	8.1	492	469	480	6	2	5	2.29	0
ethnic	9.4	567	356	486	6	2	5	2.02	0
event	6.8	406	261	566	5	2	5	2.87	0
ever	5.4	310	100	642	4	2	4	3.34	3
evoke	10.5	647	186	439	5	2	4	2.52	0
exam	6.9	407	529	591	4	2	5	1.45	0
excel	9.4	570	274	456	5	2	5	1.86	1
exclaim	7.8	472	300	456	7	2	7	2.27	0
exert	9.3	570	223	462	5	2	5	2.45	0
exist	7.2	422	215	523	5	2	6	2.52	0
expel	8.5	532	270	447	5	2	6	2.02	1
expense	7.7	470	160	551	7	2	7	2.82	1
expert	7.6	469	325	540	6	2	6	2.69	2
explore	6.4	371	310	524	7	2	7	2.70	1
export	8.1	491	251	472	6	2	6	2.64	2
eyeball	5.2	261	620	499	7	2	4	1.61	0
facial	8.1	487	481	520	6	2	4	2.86	1
faint	6.8	393	425	488	5	1	4	3.08	5
